set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
4423d70a-b120-4653-bcf3-0c5ea8b97b0e,Actonel,54868-4386,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
750e7372-022b-454e-86c4-e4b325fb9f42,ULTRACET,21695-143,Rebel Distributors Corp,TABLET,NDA,silent,,
90841684-4f00-450f-b366-6fc914ca8c54,Verapamil Hydrochloride,21695-511,Rebel Distributors Corp,TABLET,ANDA,silent,,
a3c9ea17-3793-494a-8b32-44e48f9f4503,Zyprexa,21695-140,Rebel Distributors Corp,TABLET,NDA,silent,,
ccc64ee7-f581-493b-b8c2-6147a0db197e,Niaspan,21695-865,Rebel Distributors Corp,"TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
d6d7711f-541b-47d1-b937-2c6a021eb6c3,Boniva,54868-5322,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
1cd07b54-f66f-4040-9058-462324267196,Cenestin,54868-5415,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
3a2f773d-b67f-4e83-b8d7-fce6b2887efe,CIMETIDINE,21695-532,Rebel Distributors Corp,TABLET,ANDA,silent,,
4ae433f5-52bb-4403-984c-32f0fad50dd1,Bisoprolol Fumarate and Hydrochlorothiazide,21695-808,Rebel Distributors Corp,"TABLET, COATED",ANDA,silent,,
4b546121-ef6b-458c-ae0c-ce5bba3dc9a3,Clarinex,54868-4624,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
6c96373f-6744-49d4-aec5-3720bc993fab,Celexa,54868-4985,"Physicians Total Care, Inc.",TABLET,NDA,silent,,
911802e4-2aeb-4447-99ae-6029cdd2d7dd,Trazodone Hydrochloride,68387-165,Keltman Pharmaceuticals Inc.,TABLET,ANDA,silent,,
c3b0b1f8-abfd-4054-8645-fd076305f4f8,ZOLOFT,16590-250,STAT RX USA LLC,"TABLET, FILM COATED",NDA,silent,,
10a49211-025b-4d63-b60c-fadfd9b731c0,Fluoxetine Hydrochloride,21695-320,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
dfd30506-59e5-4578-879e-fbd6fdd90515,Diltiazem Hydrochloride,21695-408,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
e83ebf1a-2719-4f52-a47d-3d5af9e8d6f4,ERYTHROMYCIN Base Filmtab,21695-387,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
1086a7b4-b89b-4bee-8120-5f752626c046,Plavix,21695-665,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
1f949140-68b5-4602-936f-1936e436d553,NAPRELAN,21695-905,Rebel Distributors Corp,"TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
202b1a2a-11dc-4c3d-aa53-27512a98a042,Topamax,21695-128,Rebel Distributors Corp,"TABLET, COATED",NDA,silent,,
20f8c35b-bf1c-44cf-bdd7-01b56b85bc0c,Kaletra,21695-362,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
6f90218a-1595-4af4-97cb-859b265babf4,Glyburide and Metformin,21695-568,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
74ce605d-b493-4b95-9d59-9253f81f4e20,Namenda,21695-232,Rebel Distributors Corp,TABLET,NDA,silent,,
8de6a6eb-9ed8-4e05-9a4c-d657b5634f76,INVEGA,21695-455,Rebel Distributors Corp,"TABLET, EXTENDED RELEASE",NDA,silent,,
92c7be7d-8c89-476a-b131-9deef76ed016,Indapamide,21695-576,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
c7bc9486-8e61-4ba1-827f-2cd8c304b454,Inspra,21695-797,Rebel Distributors Corp,TABLET,NDA,silent,,
d1329893-a8bc-4f31-a31b-76690d111035,Keppra,21695-070,Rebel Distributors Corp,TABLET,NDA,silent,,
1c845e89-e899-4094-bae6-c14602dbf288,Donepezil Hydrochloride,54868-6207,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
efb195b9-b995-48f3-a4cb-b7e09d56350e,Menest,54868-6211,"Physicians Total Care, Inc.",TABLET,ANDA,silent,,
b2f95b0b-9de3-4c0b-a46e-a7eee6428b4b,Ethambutol,54868-6219,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
ded64147-7a43-4055-accc-2c011828079d,Depakote,54868-5525,"Physicians Total Care, Inc.","TABLET, EXTENDED RELEASE",NDA,silent,,
f63155b9-ea71-4a30-be32-37173f87bcbf,Concerta,54868-4489,"Physicians Total Care, Inc.","TABLET, EXTENDED RELEASE",NDA,silent,,
0d4fb45b-e45b-4519-96a3-a8a106450f87,Paroxetine,21695-101,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
2e1f1640-c6ff-456f-8bec-ec3251065f46,Losortan Potassium,21695-714,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
611e1f43-1442-4cbb-b7eb-b65de15c6c70,Anastrozole,21695-990,Rebel Distributors Corp,TABLET,ANDA,silent,,
6fafbe75-fcae-4afd-9745-02e641cefb31,Nifedipine,21695-909,Rebel Distributors Corp,"TABLET, EXTENDED RELEASE",ANDA,silent,,
98a3ef97-b447-4bfc-b284-13acd00bda5b,Verapamil Hydrochloride,21695-868,Rebel Distributors Corp,"TABLET, FILM COATED, EXTENDED RELEASE",ANDA,silent,,
