set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
84e7be8f-2785-45ef-9c44-de05394fcd99,Mucinex Childrens FreeFrom Multi-Symptom Cold and Flu Nighttime,63824-959,RB Health (US) LLC,SOLUTION,OTC Monograph Drug,silent,,
c02ad905-2363-4092-a90e-3be789112cb1,CHILDRENS LORATADINE,11673-997,TARGET CORPORATION,"TABLET, CHEWABLE",ANDA,silent,,
297d6703-ed4e-10d3-e063-6394a90a9f3a,Tums Chewy Bites,67751-235,Navajo Manufacturing Company Inc.,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
d664c45d-564a-4692-ae8f-8dd980ffcd87,up and up omeprazole,11673-018,Target Corporation,"TABLET, DELAYED RELEASE",NDA,silent,,
3c34fa4b-be9f-4aa6-ab6b-775b528a8949,dg health omeprazole,55910-215,Dolgencorp Inc,"TABLET, DELAYED RELEASE",NDA,silent,,
491e3710-9a15-4b07-ae22-923bd1152ecc,omeprazole,37808-401,H E B,"TABLET, DELAYED RELEASE",NDA,silent,,
4e849a58-ad34-4d6e-a065-d1e5a1ac8218,omeprazole,41250-401,Meijer Distribution Inc,"TABLET, DELAYED RELEASE",NDA,silent,,
2f9ea017-a48d-a225-e063-6294a90a9ec3,Rolaids,84126-347,The Procter & Gamble Manufacturing Company,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
2499e14a-c14f-ea13-e063-6394a90a62f5,Naked Sundays PoutScreen Plumping Lip Treatment Caramel Latte 10mL,81104-247,NAKED SUNDAYS PTY LTD,LIQUID,OTC Monograph Drug,silent,,
b29d2771-f685-45c5-b18b-3ca976df6984,Dulcolax Chewy Fruit Bites Cherry Berry,41167-0257,"Chattem, Inc.","TABLET, CHEWABLE",OTC Monograph Drug,silent,,
a5ec923a-dbc7-43e0-b3b8-f61dcaa6765d,careone omeprazole,41520-802,American Sales Company,"TABLET, DELAYED RELEASE",NDA,silent,,
85ece978-3cfb-4c09-bf0f-3217fda8e7d4,signature care omeprazole,21130-401,Safeway,"TABLET, DELAYED RELEASE",NDA,silent,,
65800a35-be93-4680-9044-f3cf71ffcd9c,RICH LIP COLOR,64141-009,Bobbi Brown Professional Cosmetics Inc.,LIPSTICK,OTC monograph not final,silent,,
bd1b687b-6062-4a0d-9d3c-dc7ea63f3a42,NUTRITIOUS,11559-727,ESTEE LAUDER INC,POWDER,OTC monograph not final,silent,,
21925869-f913-4e56-b071-415c5e6281aa,BareMinerals Faux Tan,98132-158,Bare Escentuals Beauty Inc.,POWDER,OTC MONOGRAPH NOT FINAL,silent,,
1b945dfb-d568-4325-9589-cdfe78c02958,almost bronzer,49527-801,clinique laboratories inc,POWDER,OTC MONOGRAPH NOT FINAL,silent,,
