"drug_name","generic_name","brand_generic","category","dosage_form","route","active_ingredients","single_or_combo","excipients_raw","gluten_flag","flagged_excipients","flagged_excipient_flags","ndc_code","package_ndc","approval_type","marketing_status","manufacturer","set_id","dailymed_url"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; STARCH, CORN; POLYETHYLENE GLYCOL, UNSPECIFIED; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TALC; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free; gluten_free","68788-8757","68788-8757-4","ANDA","active","Preferred Pharmaceuticals Inc.","b84ea215-e61d-4c00-8a34-d47c4080779b","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b84ea215-e61d-4c00-8a34-d47c4080779b"
"GOOD SENSE CHILDRENS IBUPROFEN","ibuprofen","generic","nsaid","TABLET, CHEWABLE","ORAL","IBUPROFEN","single","ACESULFAME POTASSIUM; ASPARTAME; CARNAUBA WAX; CROSCARMELLOSE SODIUM; HYPROMELLOSE, UNSPECIFIED; MAGNESIUM STEARATE; MANNITOL; SILICON DIOXIDE; SODIUM LAURYL SULFATE; SOYBEAN OIL; SUCCINIC ACID","gluten_free","CROSCARMELLOSE SODIUM","gluten_free","0113-7366","0113-7366-24","ANDA","active","L. Perrigo Company","cd06ffc5-4921-4b2d-88ea-939fa4daf59c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cd06ffc5-4921-4b2d-88ea-939fa4daf59c"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; FD&C YELLOW NO. 6; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; STARCH, PREGELATINIZED CORN; SODIUM STARCH GLYCOLATE TYPE A CORN; STEARIC ACID; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, PREGELATINIZED CORN; SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free; gluten_free","42507-865","","ANDA","active","HYVEE INC","459fc063-0664-09b7-e063-6394a90a89e0","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=459fc063-0664-09b7-e063-6394a90a89e0"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; FD&C YELLOW NO. 6; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; STARCH, PREGELATINIZED CORN; SODIUM STARCH GLYCOLATE TYPE A CORN; STEARIC ACID; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, PREGELATINIZED CORN; SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free; gluten_free","42507-112","","ANDA","active","HYVEE INC","459fc670-32a3-61a6-e063-6294a90aea5a","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=459fc670-32a3-61a6-e063-6294a90aea5a"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; FERRIC OXIDE RED; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE K30; STARCH, PREGELATINIZED CORN; SODIUM STARCH GLYCOLATE TYPE A CORN; STEARIC ACID; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, PREGELATINIZED CORN; SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free; gluten_free","42507-909","42507-909-22","ANDA","active","HYVEE INC","45aead8a-37ee-9a66-e063-6394a90a5d17","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=45aead8a-37ee-9a66-e063-6394a90a5d17"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; HYPROMELLOSE 2910 (5 MPA.S); HYDROXYPROPYL CELLULOSE, UNSPECIFIED; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL 400; STARCH, CORN; POVIDONE K90; SODIUM LAURYL SULFATE; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","70518-1051","70518-1051-0","ANDA","active","REMEDYREPACK INC.","20078671-536f-4b0b-a079-f90ac186a670","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20078671-536f-4b0b-a079-f90ac186a670"
"Ibuprofen","ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; STARCH, CORN; HYPROMELLOSE, UNSPECIFIED; ANHYDROUS LACTOSE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYDEXTROSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TRIACETIN","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","50844-438","","ANDA","active","L.N.K. International, Inc.","82e907e6-86a9-5c7f-93bd-a6319d74100f","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=82e907e6-86a9-5c7f-93bd-a6319d74100f"
"Ibuprofen","ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; STARCH, CORN; HYPROMELLOSE, UNSPECIFIED; ANHYDROUS LACTOSE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYDEXTROSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TITANIUM DIOXIDE; TRIACETIN","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","50844-352","","ANDA","active","L.N.K. International, Inc.","8ebe3e16-b7ae-d333-6671-5bc935e25900","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8ebe3e16-b7ae-d333-6671-5bc935e25900"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; HYPROMELLOSE 2910 (5 MPA.S); HYDROXYPROPYL CELLULOSE, UNSPECIFIED; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL 400; STARCH, CORN; POVIDONE K90; SODIUM LAURYL SULFATE; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","51655-048","51655-048-26","ANDA","active","Northwind Health Company, LLC","ab074ae8-5696-5327-e053-2a95a90a7ce3","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab074ae8-5696-5327-e053-2a95a90a7ce3"
"Ibuprofen","ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; STARCH, CORN; HYPROMELLOSE, UNSPECIFIED; ANHYDROUS LACTOSE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYDEXTROSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TITANIUM DIOXIDE; TRIACETIN","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","50844-353","","ANDA","active","L.N.K. International, Inc.","c93da67f-f42e-4baa-976b-73c71ba6dd71","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c93da67f-f42e-4baa-976b-73c71ba6dd71"
"Ibuprofen","ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","CARNAUBA WAX; SILICON DIOXIDE; STARCH, CORN; HYPROMELLOSE, UNSPECIFIED; ANHYDROUS LACTOSE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYDEXTROSE; POLYETHYLENE GLYCOL, UNSPECIFIED; FERRIC OXIDE RED; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","50844-292","","ANDA","active","L.N.K. International, Inc.","d3b8d35a-10b5-a31c-8ced-eeb100c0fd7c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d3b8d35a-10b5-a31c-8ced-eeb100c0fd7c"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; HYPROMELLOSE 2910 (5 MPA.S); HYDROXYPROPYL CELLULOSE, UNSPECIFIED; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL 400; STARCH, CORN; POVIDONE K90; SODIUM LAURYL SULFATE; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","51655-042","51655-042-25","ANDA","active","Northwind Health Company, LLC","f2a08223-a73a-5461-e053-2995a90a3bce","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2a08223-a73a-5461-e053-2995a90a3bce"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; STARCH, CORN; POLYETHYLENE GLYCOL, UNSPECIFIED; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TALC; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free; gluten_free","67046-1646","67046-1646-3","ANDA","active","Coupler LLC","4831785a-cde2-79a2-e063-6294a90a9a40","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4831785a-cde2-79a2-e063-6294a90a9a40"
"Theraflex Advance","IBUPROFEN, GLUCOSAMINE SULFATE, and CHONDROITIN SULFATE (BOVINE)","otc_monograph","nsaid","TABLET","ORAL","IBUPROFEN; GLUCOSAMINE SULFATE; CHONDROITIN SULFATE (BOVINE)","combo","STARCH, CORN; CROSPOVIDONE; GELATIN; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; SILICON DIOXIDE; STEARIC ACID; TITANIUM DIOXIDE; FD&C BLUE NO. 1","gluten_free","STARCH, CORN","gluten_free","61841-152","","Export only","active","Bayer HealthCare LLC.","8fbde87b-d0d9-4a62-b8a3-9320cbb727a5","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8fbde87b-d0d9-4a62-b8a3-9320cbb727a5"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","CARNAUBA WAX; SILICON DIOXIDE; STARCH, CORN; HYPROMELLOSE, UNSPECIFIED; ANHYDROUS LACTOSE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYDEXTROSE; POLYETHYLENE GLYCOL, UNSPECIFIED; FERRIC OXIDE RED; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","41250-991","","ANDA","active","Meijer Distribution Inc","c0c64ba5-b6b0-4221-9e44-110d92c93782","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0c64ba5-b6b0-4221-9e44-110d92c93782"
"Xpect Ibuprofen","Ibuprofen","generic","nsaid","TABLET","ORAL","IBUPROFEN","single","SILICON DIOXIDE; FERRIC OXIDE RED; SODIUM STARCH GLYCOLATE TYPE A CORN; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free","42961-203","42961-203-04","ANDA","completed","Cintas Corporation","976ba88a-6428-40d1-a2fd-eac64963ba1d","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=976ba88a-6428-40d1-a2fd-eac64963ba1d"
"IBUPROFEN","IBUPROFEN","generic","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","POTASSIUM HYDROXIDE; POLYETHYLENE GLYCOL 600; WATER; GELATIN; SORBITOL; SORBITAN; FD&C BLUE NO. 1; MEDIUM-CHAIN TRIGLYCERIDES; PROPYLENE GLYCOL; SHELLAC; SODIUM LAURYL SULFATE; TITANIUM DIOXIDE","gluten_free","","","59556-764","","ANDA","active","Strides Pharma Inc","69b208ff-83f5-40d1-a2ff-d54b390e46e4","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=69b208ff-83f5-40d1-a2ff-d54b390e46e4"
"IBUPROFEN","IBUPROFEN","generic","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","POTASSIUM HYDROXIDE; POLYETHYLENE GLYCOL 600; WATER; GELATIN; SORBITOL; MEDIUM-CHAIN TRIGLYCERIDES; PROPYLENE GLYCOL; SHELLAC; SODIUM LAURYL SULFATE; TITANIUM DIOXIDE; FD&C GREEN NO. 3; LECITHIN, SOYBEAN; SORBITAN","gluten_free","","","59556-895","","ANDA","active","Strides Pharma Inc","69b208ff-83f5-40d1-a2ff-d54b390e46e4","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=69b208ff-83f5-40d1-a2ff-d54b390e46e4"
"IBUPROFEN","IBUPROFEN","generic","nsaid","TABLET, COATED","ORAL","IBUPROFEN","single","STARCH, CORN; HYPROMELLOSE, UNSPECIFIED; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; SODIUM STARCH GLYCOLATE TYPE A POTATO; TITANIUM DIOXIDE; TRIACETIN; TALC; FERRIC OXIDE RED; SILICON DIOXIDE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","59556-857","59556-857-42","ANDA","active","Strides Pharma Inc","a5dd275f-f388-44ec-8297-74430a742d52","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a5dd275f-f388-44ec-8297-74430a742d52"
"IBUPROFEN","IBUPROFEN","generic","nsaid","TABLET, COATED","ORAL","IBUPROFEN","single","STARCH, CORN; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; SODIUM STARCH GLYCOLATE TYPE A POTATO; TITANIUM DIOXIDE; TRIACETIN; TALC; FERRIC OXIDE RED; SILICON DIOXIDE; HYPROMELLOSE, UNSPECIFIED","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","59556-858","59556-858-42","ANDA","active","Strides Pharma Inc","a5dd275f-f388-44ec-8297-74430a742d52","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a5dd275f-f388-44ec-8297-74430a742d52"
"ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","SILICON DIOXIDE; STARCH, CORN; CROSCARMELLOSE SODIUM; HYPROMELLOSE, UNSPECIFIED; FERRIC OXIDE RED; FERRIC OXIDE YELLOW; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYSORBATE 80; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","59779-604","","ANDA","active","CVS Pharmacy","ace493e6-91bc-41aa-8e5c-5bc14981de91","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ace493e6-91bc-41aa-8e5c-5bc14981de91"
"Ibuprofen","ibuprofen","generic","nsaid","TABLET","ORAL","IBUPROFEN","single","SILICON DIOXIDE; MICROCRYSTALLINE CELLULOSE; STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO; TALC; MAGNESIUM STEARATE; OPADRY II 32K580000 WHITE; POLYETHYLENE GLYCOL, UNSPECIFIED; SODIUM CITRATE, UNSPECIFIED FORM; LACTOSE MONOHYDRATE; TITANIUM DIOXIDE; HYPROMELLOSE, UNSPECIFIED","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","70512-780","70512-780-10","ANDA","active","SOLA Pharmaceuticals, LLC","b19b8c34-e0c1-4982-92fc-34dbe7384935","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b19b8c34-e0c1-4982-92fc-34dbe7384935"
"Ibuprofen minis","Ibuprofen","generic","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","FD&C GREEN NO. 3; GELATIN; POLYETHYLENE GLYCOL, UNSPECIFIED; POTASSIUM HYDROXIDE; WATER; SORBITOL; SORBITAN; MEDIUM-CHAIN TRIGLYCERIDES","gluten_free","","","21130-843","","ANDA","completed","Safeway, Inc.","22927a12-6837-4d57-8e60-043000f2f208","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=22927a12-6837-4d57-8e60-043000f2f208"
"IBUPROFEN PM","diphenhydramine citrate, ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","DIPHENHYDRAMINE CITRATE; IBUPROFEN","combo","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; FD&C BLUE NO. 2 ALUMINUM LAKE; HYDROXYPROPYL CELLULOSE, UNSPECIFIED; FERROSOFERRIC OXIDE; LACTOSE MONOHYDRATE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; TALC; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM","gluten_free","21130-623","","ANDA","active","Safeway","57e8f0d7-1f21-4fda-8b21-3caa54fae4e6","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57e8f0d7-1f21-4fda-8b21-3caa54fae4e6"
"Ibuprofen","Ibuprofen","generic","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","FD&C BLUE NO. 1; GELATIN; POLYETHYLENE GLYCOL, UNSPECIFIED; POTASSIUM HYDROXIDE; WATER; SORBITOL; SORBITAN","gluten_free","","","21130-699","","ANDA","active","Safeway, Inc.","57f06daf-690d-44a7-95a5-468732949750","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57f06daf-690d-44a7-95a5-468732949750"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","CELLULOSE, MICROCRYSTALLINE; STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO; SILICON DIOXIDE; TALC; MAGNESIUM STEARATE; HYPROMELLOSES; POLYETHYLENE GLYCOL, UNSPECIFIED; SODIUM CITRATE; LACTOSE MONOHYDRATE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","68071-4968","68071-4968-3","ANDA","active","NuCare Pharmaceuticals,Inc.","8dba0ed8-feef-23a5-e053-2995a90aaff8","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8dba0ed8-feef-23a5-e053-2995a90aaff8"
"Ibuprofen PM","Diphenhydramine Citrate, Ibuprofen","generic","nsaid","TABLET, COATED","ORAL","IBUPROFEN; DIPHENHYDRAMINE CITRATE","combo","CARNAUBA WAX; STARCH, CORN; CROSCARMELLOSE SODIUM; FD&C BLUE NO. 2; HYPROMELLOSE, UNSPECIFIED; CELLULOSE, MICROCRYSTALLINE; POLYDEXTROSE; POLYETHYLENE GLYCOL 400; SILICON DIOXIDE; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","21130-056","","ANDA","completed","Safeway, Inc.","e49d1e9e-99a6-4d81-90d6-ef23a584a3d1","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e49d1e9e-99a6-4d81-90d6-ef23a584a3d1"
"DG Health Ibuprofen","ibuprofen","generic","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","FD&C GREEN NO. 3; GELATIN, UNSPECIFIED; MEDIUM-CHAIN TRIGLYCERIDES; POLYETHYLENE GLYCOL 600; POTASSIUM HYDROXIDE; PROPYLENE GLYCOL; WATER; SHELLAC; SODIUM LAURYL SULFATE; SORBITOL SOLUTION; SORBITAN; TITANIUM DIOXIDE","gluten_free","","","55910-650","","ANDA","active","Dolgencorp Inc","1dd4ffc5-3132-419b-8e70-78a7bb71da62","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1dd4ffc5-3132-419b-8e70-78a7bb71da62"
"Ibuprofen","Ibuprofen","generic","nsaid","TABLET, FILM COATED","ORAL","IBUPROFEN","single","CROSCARMELLOSE SODIUM; HYPROMELLOSE 2910 (5 MPA.S); HYDROXYPROPYL CELLULOSE, UNSPECIFIED; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL 400; STARCH, CORN; POVIDONE K90; SODIUM LAURYL SULFATE; TITANIUM DIOXIDE; SILICON DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","82868-069","82868-069-30","ANDA","active","Northwind Health Company, LLC","2f12a20c-4293-d18a-e063-6294a90a3afc","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f12a20c-4293-d18a-e063-6294a90a3afc"
"IBUPROFEN","IBUPROFEN","generic","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","AMMONIA; FD&C GREEN NO. 3; GELATIN; FERROSOFERRIC OXIDE; MEDIUM-CHAIN TRIGLYCERIDES; POLYETHYLENE GLYCOL, UNSPECIFIED; PROPYLENE GLYCOL; POTASSIUM HYDROXIDE; WATER; SHELLAC; SORBITAN MONOOLEATE; SORBITAN","gluten_free","","","49483-610","49483-610-44","ANDA","active","TIME CAP LABORATORIES, INC","e0a8315a-80a5-4be3-aad1-3d01f00df494","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e0a8315a-80a5-4be3-aad1-3d01f00df494"
"Advil Liquigel","ibuprofen","brand","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","FD&C GREEN NO. 3; GELATIN, UNSPECIFIED; SOYBEAN LECITHIN; MEDIUM-CHAIN TRIGLYCERIDES; POLYETHYLENE GLYCOL, UNSPECIFIED; POTASSIUM HYDROXIDE; WATER; SORBITAN; SORBITOL","gluten_free","","","85237-1785","","NDA","active","Select Consumer Group","3ca6bc9d-090f-e412-e063-6394a90a6876","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ca6bc9d-090f-e412-e063-6394a90a6876"
"Childrens Ibuprofen Oral Suspension","IBUPROFEN","generic","nsaid","SUSPENSION","ORAL","IBUPROFEN","single","ACESULFAME POTASSIUM; ANHYDROUS CITRIC ACID; CARBOXYMETHYLCELLULOSE SODIUM; D&C YELLOW NO. 10; FD&C RED NO. 40; GLYCERIN; MICROCRYSTALLINE CELLULOSE; POLYSORBATE 80; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SUCROSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","76281-119","","ANDA","active","AptaPharma Inc.","40936019-74ab-4b25-a502-7bbc6e12034a","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=40936019-74ab-4b25-a502-7bbc6e12034a"
"Ibuprofen","ibuprofen","generic","nsaid","CAPSULE, LIQUID FILLED","ORAL","IBUPROFEN","single","POTASSIUM HYDROXIDE; WATER; SORBITAN; SORBITOL; FD&C GREEN NO. 3; GELATIN TYPE B BOVINE (150 BLOOM); POLYETHYLENE GLYCOL 400","gluten_free","","","53345-059","","ANDA","active","Humanwell PuraCap Pharmaceuticals (Wuhan) Co., Ltd","46a9424c-fd7d-f88b-e063-6294a90abceb","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=46a9424c-fd7d-f88b-e063-6294a90abceb"
"Childrens Ibuprofen Oral Suspension Original Berry Flavor","IBUPROFEN","generic","nsaid","SUSPENSION","ORAL","IBUPROFEN","single","ACESULFAME POTASSIUM; ANHYDROUS CITRIC ACID; CARBOXYMETHYLCELLULOSE SODIUM; D&C YELLOW NO. 10; FD&C RED NO. 40; GLYCERIN; MICROCRYSTALLINE CELLULOSE; POLYSORBATE 80; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SUCROSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","83474-002","","ANDA","active","Puro Pharma Inc.","6b993b25-9c81-4d75-b332-6de3f6c3b4c9","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6b993b25-9c81-4d75-b332-6de3f6c3b4c9"
"Childrens Ibuprofen Grape","IBUPROFEN","generic","nsaid","SUSPENSION","ORAL","IBUPROFEN","single","ACESULFAME POTASSIUM; ANHYDROUS CITRIC ACID; CARBOXYMETHYLCELLULOSE SODIUM; D&C RED NO. 33; FD&C BLUE NO. 1; GLYCERIN; MICROCRYSTALLINE CELLULOSE; POLYSORBATE 80; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SUCROSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","76281-126","76281-126-24","ANDA","active","AptaPharma Inc.","7caca7e2-6652-45fc-9538-275b43a1594e","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7caca7e2-6652-45fc-9538-275b43a1594e"
"Ibuprofen","Ibuprofen","generic","nsaid","SUSPENSION","ORAL","IBUPROFEN","single","ACESULFAME POTASSIUM; ANHYDROUS CITRIC ACID; GLYCERIN; POLYSORBATE 80; SODIUM BENZOATE; WATER; SUCROSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","51672-1385","","ANDA","active","Sun Pharmaceutical Industries, Inc.","a8b46ae5-67bc-494d-850e-b4e4ed5a33b3","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a8b46ae5-67bc-494d-850e-b4e4ed5a33b3"
"Childrens Ibuprofen Oral Suspension","IBUPROFEN","generic","nsaid","SUSPENSION","ORAL","IBUPROFEN","single","ACESULFAME POTASSIUM; ANHYDROUS CITRIC ACID; CARBOXYMETHYLCELLULOSE SODIUM; GLYCERIN; MICROCRYSTALLINE CELLULOSE; POLYSORBATE 80; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SUCROSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","76281-128","76281-128-24","ANDA","active","AptaPharma Inc.","bb995c57-a2cc-4bc7-9c7d-f885c425be64","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bb995c57-a2cc-4bc7-9c7d-f885c425be64"
